:START_ID,:END_ID,:TYPE
MLF_001_SC01_D01,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D02,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D03,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D04,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D05,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D01,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D02,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D03,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D04,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D05,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D01,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D02,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D03,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D04,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D05,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D01,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D02,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D03,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D04,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D05,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D01,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D02,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D03,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D04,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D05,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLC_002_SC01_D01,MLC_002_SC01,ALLOWS_UNDERSTANDING_OF
MLC_002_SC01_D02,MLC_002_SC01,ALLOWS_UNDERSTANDING_OF
